rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend,TEFF_COLOR,PL_TYPE,PA
    1213,       83389,a,Direct Imaging,           5,      11.7983,       0,    0.0963518,       0,      0.00000,       0,      106.094,       0,   0.00121934,       0,Mass,    0.0650390,       0, , ,       0,       0,       0,       0,17h02m36.41s,      255.652,+47d04m54.8s,      47.0819,      18.0603,       0,      6.76000,       0,       0,       0,V (Johnson),      5475.80,       0,       0,     0.857270,       0,       0,     0.817468,       0,       0, ,Hot_Earth,      27.2090
    1214,       83389,b,Direct Imaging,           5,      1852.19,       0,      2.80395,       0,      0.00000,       0,      101.711,       0,   0.00161402,       0,Mass,    0.0714114,       0, , ,       0,       0,       0,       0,17h02m36.41s,      255.652,+47d04m54.8s,      47.0819,      18.0603,       0,      6.76000,       0,       0,       0,V (Johnson),      5475.80,       0,       0,     0.857270,       0,       0,     0.817468,       0,       0, ,Cold_Earth,      27.2090
    1215,       83389,c,Direct Imaging,           5,      210.757,       0,     0.658416,       0,      0.00000,       0,      102.695,       0,   0.00970808,       0,Mass,     0.131930,       0, , ,       0,       0,       0,       0,17h02m36.41s,      255.652,+47d04m54.8s,      47.0819,      18.0603,       0,      6.76000,       0,       0,       0,V (Johnson),      5475.80,       0,       0,     0.857270,       0,       0,     0.817468,       0,       0, ,Warm_Neptune,      27.2090
    1216,       83389,d,Direct Imaging,           5,      430.932,       0,      1.06068,       0,      0.00000,       0,      104.108,       0,    0.0271283,       0,Mass,     0.237338,       0, , ,       0,       0,       0,       0,17h02m36.41s,      255.652,+47d04m54.8s,      47.0819,      18.0603,       0,      6.76000,       0,       0,       0,V (Johnson),      5475.80,       0,       0,     0.857270,       0,       0,     0.817468,       0,       0, ,Warm_Neptune,      27.2090
    1217,       83389,e,Direct Imaging,           5,      2661.35,       0,      3.57038,       0,      0.00000,       0,      105.768,       0,    0.0204825,       0,Mass,     0.202130,       0, , ,       0,       0,       0,       0,17h02m36.41s,      255.652,+47d04m54.8s,      47.0819,      18.0603,       0,      6.76000,       0,       0,       0,V (Johnson),      5475.80,       0,       0,     0.857270,       0,       0,     0.817468,       0,       0, ,Cold_Neptune,      27.2090
    1218,       83541,a,Direct Imaging,           3,      159.041,       0,     0.557693,       0,      0.00000,       0,      61.0945,       0,   0.00183262,       0,Mass,    0.0744998,       0, , ,       0,       0,       0,       0,17h04m27.85s,      256.116,-28d34m57.6s,     -28.5827,      18.0799,       0,      6.59000,       0,       0,       0,V (Johnson),      5246.00,       0,       0,     0.914844,       0,       0,     0.989552,       0,       0, ,Hot_Earth,      144.820
    1219,       83541,b,Direct Imaging,           3,      12.6951,       0,     0.103390,       0,      0.00000,       0,      60.1524,       0,   0.00781984,       0,Mass,     0.120836,       0, , ,       0,       0,       0,       0,17h04m27.85s,      256.116,-28d34m57.6s,     -28.5827,      18.0799,       0,      6.59000,       0,       0,       0,V (Johnson),      5246.00,       0,       0,     0.914844,       0,       0,     0.989552,       0,       0, ,Hot_Earth,      144.820
    1220,       83541,c,Direct Imaging,           3,      19.1109,       0,     0.135803,       0,      0.00000,       0,      60.3643,       0,   0.00217095,       0,Mass,    0.0788282,       0, , ,       0,       0,       0,       0,17h04m27.85s,      256.116,-28d34m57.6s,     -28.5827,      18.0799,       0,      6.59000,       0,       0,       0,V (Johnson),      5246.00,       0,       0,     0.914844,       0,       0,     0.989552,       0,       0, ,Hot_Earth,      144.820
    1221,       83591,a,Direct Imaging,           2,      10.8927,       0,    0.0791327,       0,      0.00000,       0,     -140.819,       0,   0.00322606,       0,Mass,    0.0899544,       0, , ,       0,       0,       0,       0,17h05m03.39s,      256.264,-05d03m59.4s,     -5.06651,      10.7550,       0,      7.70000,       0,       0,       0,V (Johnson),      4658.00,       0,       0,     0.557160,       0,       0,     0.554525,       0,       0, ,Hot_Earth,      316.930
    1222,       83591,b,Direct Imaging,           2,      82.4669,       0,     0.305108,       0,      0.00000,       0,     -143.616,       0,    0.0633942,       0,Mass,     0.368351,       0, , ,       0,       0,       0,       0,17h05m03.39s,      256.264,-05d03m59.4s,     -5.06651,      10.7550,       0,      7.70000,       0,       0,       0,V (Johnson),      4658.00,       0,       0,     0.557160,       0,       0,     0.554525,       0,       0, ,Warm_Jupiter,      316.930
    1223,       83601,a,Direct Imaging,           2,      593.062,       0,      1.42346,       0,      0.00000,       0,     -61.6090,       0,    0.0346044,       0,Mass,     0.272755,       0, , ,       0,       0,       0,       0,17h05m16.82s,      256.320,+00d42m09.2s,     0.702559,      20.3832,       0,      6.00000,       0,       0,       0,V (Johnson),      5971.60,       0,       0,      1.09400,       0,       0,      1.09302,       0,       0, ,Warm_Neptune,      356.494
    1224,       83601,b,Direct Imaging,           2,      342.641,       0,     0.987426,       0,      0.00000,       0,     -62.6683,       0,    0.0198423,       0,Mass,     0.198495,       0, , ,       0,       0,       0,       0,17h05m16.82s,      256.320,+00d42m09.2s,     0.702559,      20.3832,       0,      6.00000,       0,       0,       0,V (Johnson),      5971.60,       0,       0,      1.09400,       0,       0,      1.09302,       0,       0, ,Warm_Neptune,      356.494
    1225,       83990,a,Direct Imaging,           1,      223.862,       0,     0.624015,       0,      0.00000,       0,      83.5201,       0,    0.0160490,       0,Mass,     0.175831,       0, , ,       0,       0,       0,       0,17h10m10.35s,      257.543,-60d43m43.6s,     -60.7288,      13.6855,       0,      7.38000,       0,       0,       0,V (Johnson),      5070.20,       0,       0,     0.646851,       0,       0,     0.578307,       0,       0, ,Warm_Neptune,      203.712
    1226,       84143,a,Direct Imaging,           2,      2889.21,       0,      5.22171,       0,      0.00000,       0,     -140.162,       0,    0.0541613,       0,Mass,     0.352329,       0, , ,       0,       0,       0,       0,17h12m09.19s,      258.038,-43d14m21.1s,     -43.2392,      21.9491,       0,      3.32000,       0,       0,       0,V (Johnson),      6536.50,       0,       0,      2.27541,       0,       0,      3.43483,       0,       0, ,Warm_Neptune,      355.674
    1227,       84143,b,Direct Imaging,           2,      3413.36,       0,      5.83555,       0,      0.00000,       0,     -142.427,       0,    0.0169248,       0,Mass,     0.181252,       0, , ,       0,       0,       0,       0,17h12m09.19s,      258.038,-43d14m21.1s,     -43.2392,      21.9491,       0,      3.32000,       0,       0,       0,V (Johnson),      6536.50,       0,       0,      2.27541,       0,       0,      3.43483,       0,       0, ,Warm_Neptune,      355.674
    1228,       84478,a,Direct Imaging,           2,      87.8810,       0,     0.322812,       0,      0.00000,       0,      51.8456,       0,   0.00516218,       0,Mass,     0.105215,       0, , ,       0,       0,       0,       0,17h16m13.36s,      259.056,-26d32m46.1s,     -26.5461,      5.96801,       0,      6.33000,       0,       0,       0,V (Johnson),      4579.80,       0,       0,     0.581085,       0,       0,     0.628264,       0,       0, ,Warm_Earth,      27.6088
    1229,       84478,b,Direct Imaging,           2,      1657.63,       0,      2.28742,       0,      0.00000,       0,      51.2609,       0,   0.00662311,       0,Mass,     0.114328,       0, , ,       0,       0,       0,       0,17h16m13.36s,      259.056,-26d32m46.1s,     -26.5461,      5.96801,       0,      6.33000,       0,       0,       0,V (Johnson),      4579.80,       0,       0,     0.581085,       0,       0,     0.628264,       0,       0, ,Cold_Earth,      27.6088
    1230,       84862,a,Direct Imaging,           4,      852.437,       0,      1.79503,       0,      0.00000,       0,      111.650,       0,   0.00142056,       0,Mass,    0.0684360,       0, , ,       0,       0,       0,       0,17h20m39.57s,      260.165,+32d28m03.9s,      32.4677,      14.3926,       0,      5.38000,       0,       0,       0,V (Johnson),      5822.60,       0,       0,      1.06186,       0,       0,      1.07764,       0,       0, ,Warm_Earth,      308.583
    1231,       84862,b,Direct Imaging,           4,      720.318,       0,      1.60440,       0,      0.00000,       0,      111.337,       0,   0.00860888,       0,Mass,     0.124771,       0, , ,       0,       0,       0,       0,17h20m39.57s,      260.165,+32d28m03.9s,      32.4677,      14.3926,       0,      5.38000,       0,       0,       0,V (Johnson),      5822.60,       0,       0,      1.06186,       0,       0,      1.07764,       0,       0, ,Warm_Earth,      308.583
    1232,       84862,c,Direct Imaging,           4,      8158.77,       0,      8.09181,       0,      0.00000,       0,      111.969,       0,   0.00322364,       0,Mass,    0.0899319,       0, , ,       0,       0,       0,       0,17h20m39.57s,      260.165,+32d28m03.9s,      32.4677,      14.3926,       0,      5.38000,       0,       0,       0,V (Johnson),      5822.60,       0,       0,      1.06186,       0,       0,      1.07764,       0,       0, ,Cold_Earth,      308.583
    1233,       84862,d,Direct Imaging,           4,      203.889,       0,     0.691658,       0,      0.00000,       0,      113.315,       0,    0.0403085,       0,Mass,     0.297604,       0, , ,       0,       0,       0,       0,17h20m39.57s,      260.165,+32d28m03.9s,      32.4677,      14.3926,       0,      5.38000,       0,       0,       0,V (Johnson),      5822.60,       0,       0,      1.06186,       0,       0,      1.07764,       0,       0, ,Hot_Neptune,      308.583
    1234,       85042,a,Direct Imaging,           4,      214.850,       0,     0.703370,       0,      0.00000,       0,     -71.8644,       0,    0.0461252,       0,Mass,     0.321433,       0, , ,       0,       0,       0,       0,17h22m51.29s,      260.714,-02d23m17.4s,     -2.38818,      19.4590,       0,      6.28000,       0,       0,       0,V (Johnson),      5620.00,       0,       0,      1.00569,       0,       0,      1.03554,       0,       0, ,Hot_Neptune,      99.3704
    1235,       85042,b,Direct Imaging,           4,      265.751,       0,     0.810484,       0,      0.00000,       0,     -70.5022,       0,    0.0113372,       0,Mass,     0.144159,       0, , ,       0,       0,       0,       0,17h22m51.29s,      260.714,-02d23m17.4s,     -2.38818,      19.4590,       0,      6.28000,       0,       0,       0,V (Johnson),      5620.00,       0,       0,      1.00569,       0,       0,      1.03554,       0,       0, ,Warm_Neptune,      99.3704
    1236,       85042,c,Direct Imaging,           4,      6900.51,       0,      7.10692,       0,      0.00000,       0,     -71.1074,       0,    0.0415176,       0,Mass,     0.302672,       0, , ,       0,       0,       0,       0,17h22m51.29s,      260.714,-02d23m17.4s,     -2.38818,      19.4590,       0,      6.28000,       0,       0,       0,V (Johnson),      5620.00,       0,       0,      1.00569,       0,       0,      1.03554,       0,       0, ,Cold_Neptune,      99.3704
    1237,       85042,d,Direct Imaging,           4,      103.141,       0,     0.431236,       0,      0.00000,       0,     -70.8832,       0,     0.804553,       0,Mass,     0.805429,       0, , ,       0,       0,       0,       0,17h22m51.29s,      260.714,-02d23m17.4s,     -2.38818,      19.4590,       0,      6.28000,       0,       0,       0,V (Johnson),      5620.00,       0,       0,      1.00569,       0,       0,      1.03554,       0,       0, ,Hot_Jupiter,      99.3704
    1238,       85235,a,Direct Imaging,           1,      9.57915,       0,    0.0809440,       0,      0.00000,       0,     -79.3517,       0,  0.000404096,       0,Mass,    0.0450083,       0, , ,       0,       0,       0,       0,17h25m00.10s,      261.250,+67d18m24.1s,      67.3067,      12.7975,       0,      6.44000,       0,       0,       0,V (Johnson),      5388.70,       0,       0,     0.771047,       0,       0,     0.698142,       0,       0, ,Hot_Earth,      156.281
