rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend
33,7 CMa,b,Radial Velocity,1,796,0,1.93,0,0.22,0,,,2.46,0,Msini,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0,3.92,,0,0,V (Johnson),4792,0,0,1.52,0,0,2.3,0,0
34,70 Vir,b,Radial Velocity,1,116.6926,0,0.481,0,0.399,0,,,7.4,0,Msini,,,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0,4.98,,0,0,V (Johnson),5439,0,0,1.09,0,0,1.94,0,0
35,75 Cet,b,Radial Velocity,1,691.9,0,2.1,0,0.117,0,,,3,0,Msini,,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,0,5.35,,0,0,V (Johnson),4846,0,0,2.49,0,0,10.5,0,0
36,8 UMi,b,Radial Velocity,1,93.4,0,0.49,0,0.06,0,,,1.5,0,Msini,,,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,0,6.83,,0,0,V (Johnson),4847.4,0,0,1.8,0,0,9.9,0,0
37,81 Cet,b,Radial Velocity,1,952.7,0,2.5,0,0.206,0,,,5.3,0,Msini,,,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,0,5.65,,0,0,V (Johnson),4785,0,0,2.4,0,0,11,0,0
38,91 Aqr,b,Radial Velocity,1,181.4,0,0.7,0,0.027,0,,,3.2,0,Msini,,,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,0,4.25,,0,0,V (Johnson),4665,0,0,1.4,0,0,11,0,0
39,AB Pic,b,Imaging,1,,,260,0,,,,,13.5,0,Mass,,,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,0,9.128,0.019,0,0,V (Johnson),,,,,,,,,
40,BD+14 4559,b,Radial Velocity,1,268.94,0,0.777,0,0.29,0,,,1.47,0,Msini,,,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,0,9.63,0.012,0,0,V (Johnson),5008,0,0,0.86,0,0,0.95,0,0
41,BD+15 2375,b,Radial Velocity,1,153.22,0,0.576,0,0.001,0,,,1.061,0,Msini,,,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,0,10.31,0.023,0,0,V (Johnson),4649,0,0,1.08,0,0,8.95,0,0
42,BD+15 2940,b,Radial Velocity,1,137.48,0,0.539,0,0.26,0,,,1.11,0,Msini,,,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,175.44,-1,9.046,0.021,0,0,V (Johnson),4796,0,0,1.1,0,0,14.7,0,0
43,BD+20 1790,b,Radial Velocity,1,7.78287,0,0.066,0,0.22,0,,,6.37,0,Msini,,,,,0,0,0,0,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.4,0,,,,,,4410,0,0,0.63,0,0,0.71,0,0
44,BD+20 2457,b,Radial Velocity,2,379.63,0,1.45,0,0.15,0,,,21.42,0,Msini,,,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,,9.75,,0,0,V (Johnson),4137,0,0,2.8,0,0,49,0,0
45,BD+20 2457,c,Radial Velocity,2,621.99,0,2.01,0,0.18,0,,,12.47,0,Msini,,,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,,9.75,,0,0,V (Johnson),4137,0,0,2.8,0,0,49,0,0
46,BD+20 274,b,Radial Velocity,1,578.2,0,1.3,0,0.21,0,,,4.2,0,Msini,,,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,,9.36,,0,0,V (Johnson),4296,0,0,0.8,0,0,17.3,0,0
47,BD+48 738,b,Radial Velocity,1,392.6,0,1,0,0.2,0,,,0.91,0,Msini,,,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,,,9.14,,0,0,V (Johnson),4414,0,0,0.74,0,0,11,0,0
48,BD+49 828,b,Radial Velocity,1,2590,0,4.2,0,0.35,0,,,1.6,0,Msini,,,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,,9.38,0.02,0,0,V (Johnson),4943,0,0,1.52,0,0,7.6,0,0
49,BD-06 1339,b,Radial Velocity,2,3.8728,0,0.0428,0,0,0,,,0.027,0,Msini,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,0,9.7,0.009,0,0,V (Johnson),4324,0,0,0.7,0,0,,,
50,BD-06 1339,c,Radial Velocity,2,125.94,0,0.435,0,0.31,0,,,0.17,0,Msini,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,0,9.7,0.009,0,0,V (Johnson),4324,0,0,0.7,0,0,,,
51,BD-08 2823,b,Radial Velocity,2,5.6,0,0.056,0,0.15,0,,,0.045,0,Msini,,,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,0,9.88,0.043,0,0,V (Johnson),4746,0,0,0.74,0,0,,,
52,BD-08 2823,c,Radial Velocity,2,237.6,0,0.68,0,0.19,0,,,0.33,0,Msini,,,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,0,9.88,0.043,0,0,V (Johnson),4746,0,0,0.74,0,0,,,
53,BD-10 3166,b,Radial Velocity,1,3.48777,0,0.0452,0,0.019,0,,,0.458,0,Msini,,,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80,0,10.08,,0,0,V (Johnson),5393,0,0,1.01,,0,,,
54,BD-11 4672,b,Radial Velocity,1,1667,0,2.28,0,0.05,0,,,0.53,0,Msini,,,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,0,9.99,,0,0,V (Johnson),4475,0,0,0.57,0,0,0.52,0,0
55,BD-13 2130,b,Radial Velocity,1,714.3,0,2.1,0,0.21,0,,,10.6,0,Msini,,,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766,0,9.45,,0,0,V (Johnson),,,0,2.4,0,0,,,0
56,BD-17 63,b,Radial Velocity,1,655.6,0,1.34,0,0.54,0,,,5.1,0,Msini,,,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,0,9.566,0.024,0,0,V (Johnson),4714,0,0,0.74,0,0,0.69,0,0
57,CFBDSIR J145829+101343,b,Imaging,1,10037.5,0,2.6,0,,,,,10.5,0,Mass,,,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,0,,,,,,580.5,0,0,0.02,0,0,,,
58,CHXR 73,b,Imaging,1,,,210,0,,,,,12.569,0,Mass,,,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,,,,,,,,,,,0.35,0,0,,,
59,CT Cha,b,Imaging,1,,,440,0,,,,,17,0,Mass,2.2,0,,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,0,,,,,,,,,,,,,,
60,CoRoT-1,b,Transit,1,1.5089557,0,,,0,0,85.1,0,1.03,0,Mass,1.49,0,0.38,0,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,,,13.6,,0,0,V (Johnson),5950,0,0,0.95,0,0,1.11,0,0
61,CoRoT-10,b,Transit,1,13.2406,0,0.1055,0,0.53,0,88.55,0,2.75,0,Mass,0.97,0,3.7,0,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,0,15.22,0.05,0,0,V (Johnson),5075,0,0,0.89,0,0,0.79,0,0
62,CoRoT-11,b,Transit,1,2.99433,0,0.0436,0,0,0,83.17,0,2.33,0,Mass,1.43,0,0.99,0,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,0,,,,,,6440,0,0,1.27,0,0,1.37,0,0
63,CoRoT-12,b,Transit,1,2.828042,0,0.04016,0,0.07,0,85.48,0,0.917,0,Mass,1.44,0,0.411,0,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,0,15.515,0.052,0,0,V (Johnson),5675,0,0,1.08,0,0,1.12,0,0
64,CoRoT-13,b,Transit,1,4.03519,0,0.051,0,0,0,88.02,0,1.308,0,Mass,0.885,0,2.34,0,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,0,15.039,0.041,0,0,V (Johnson),5945,0,0,1.09,0,0,1.01,0,0
65,CoRoT-14,b,Transit,1,1.51214,0,0.027,0,0,0,79.6,0,7.6,0,Mass,1.09,0,7.3,0,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,0,16.033,0.07,0,0,V (Johnson),6035,0,0,1.13,0,0,1.21,0,0
66,CoRoT-16,b,Transit,1,5.35227,0,0.0618,0,0.33,0,85.01,0,0.535,0,Mass,1.17,0,0.44,0,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840,0,15.63,,0,0,V (Johnson),5650,0,0,1.1,0,0,1.19,0,0
67,CoRoT-17,b,Transit,1,3.7681,0,0.0461,0,0,0,88.34,0,2.43,0,Mass,1.02,0,2.82,0,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920,0,15.46,,0,0,V (Johnson),5740,0,0,1.04,0,0,1.59,0,0
68,CoRoT-18,b,Transit,1,1.9000693,0,0.0295,0,0.08,1,86.5,0,3.47,0,Mass,1.31,0,2.2,0,0,0,0,0,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870,0,15,0.1,0,0,V (Johnson),5440,0,0,0.95,0,0,1,0,0
69,CoRoT-19,b,Transit,1,3.89713,0,0.0518,0,0.047,0,88,0,1.11,0,Mass,1.29,0,0.71,0,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770,0,14.007,,0,0,V (Johnson),6090,0,0,1.21,0,0,1.65,0,0
70,CoRoT-2,b,Transit,1,1.7429935,0,0.02798,0,0.0143,0,88.08,0,3.47,0,Mass,1.466,0,1.47,0,0,0,0,0,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200,0,12.57,,0,0,V (Johnson),5625,0,0,0.96,0,0,0.91,0,0
71,CoRoT-20,b,Transit,1,9.24285,0,0.0902,0,0.562,0,88.21,0,4.24,0,Mass,0.84,0,8.87,0,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,1230,0,14.66,,0,0,V (Johnson),5880,0,0,1.14,0,0,1.02,0,0
72,CoRoT-22,b,Transit,1,9.75598,0,0.092,0,0.077,0,89.749,0,0.038,0,Mass,0.435,0,0.249,0,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592,0,13.944,0.083,0,0,V (Johnson),5939,0,0,1.1,0,0,1.14,0,0
73,CoRoT-23,b,Transit,1,3.6313,0,0.048,0,0.16,0,85.7,0,2.8,0,Mass,1.05,0,3,0,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600,0,15.63,0.07,0,0,V (Johnson),5900,0,0,1.14,0,0,1.61,0,0
74,CoRoT-24,b,Transit,2,5.1134,0,0.056,0,0,0,86.5,0,0.018,1,Mass,0.33,0,0.9,1,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,0,,,,,,4950,0,0,0.91,0,0,0.86,0,0
75,CoRoT-24,c,Transit,2,11.759,0,0.098,0,0,0,89,0,0.088,0,Mass,0.44,0,1.3,0,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,0,,,,,,4950,0,0,0.91,0,0,0.86,0,0
76,CoRoT-25,b,Transit,1,4.86069,0,0.0578,0,0,0,84.5,0,0.27,0,Mass,1.08,0,0.15,0,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000,0,,,,,,6040,0,0,1.09,0,0,1.19,0,0
77,CoRoT-26,b,Transit,1,4.20474,0,0.0526,0,0,0,86.8,0,0.52,0,Mass,1.26,0,0.28,0,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670,0,,,,,,5590,0,0,1.09,0,0,1.79,0,0
78,CoRoT-27,b,Transit,1,3.57532,0,0.0476,0,0.065,1,86.7,0,10.39,0,Mass,1.007,0,12.6,0,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,,,15.54,,0,0,V (Johnson),5900,0,0,1.05,0,0,1.08,0,0
79,CoRoT-28,b,Transit,1,5.20851,0,0.0603,0,0.047,0,88.1,0,0.484,0,Mass,0.955,0,0.69,0,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560,0,,,,,,5150,0,0,1.01,0,0,1.78,0,0
80,CoRoT-29,b,Transit,1,2.85057,0,0.0386,0,0.082,0,87.3,0,0.85,0,Mass,0.9,0,1.45,0,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765,0,,,,,,5260,0,0,0.97,0,0,0.9,0,0
81,CoRoT-3,b,Transit,1,4.2568,0,,,0,0,85.9,0,21.66,0,Mass,1.01,0,26.4,0,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680,0,,,,,,6740,0,0,1.37,0,0,1.56,0,0
82,CoRoT-4,b,Transit,1,9.20205,0,0.09,0,0,0,90,0,0.72,0,Mass,1.19,0,0.525,0,0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,,,,,,,,6190,0,0,1.16,0,0,1.17,0,0
83,CoRoT-5,b,Transit,1,4.0378962,0,0.04947,0,0.09,0,85.83,0,0.467,0,Mass,1.388,0,0.217,0,0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,,,,,,,,6100,0,0,1,0,0,1.19,0,0
84,CoRoT-6,b,Transit,1,8.886593,0,0.0855,0,0.1,1,89.07,0,2.96,0,Mass,1.166,0,2.32,0,0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,,,13.912,0.021,0,0,V (Johnson),6090,0,0,1.05,0,0,1.02,0,0
85,CoRoT-7,b,Transit,2,0.85359159,0,0.017016,0,0,0,80.78,0,0.018,0,Mass,0.141,0,7.5,0,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,0,11.668,0.008,0,0,V (Johnson),5259,0,0,0.91,0,0,0.82,0,0
86,CoRoT-7,c,Radial Velocity,2,3.698,0,0.046,0,0,0,80,0,0.02643,0,Mass,,,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,0,11.668,0.008,0,0,V (Johnson),5259,0,0,0.91,0,0,0.82,0,0
87,CoRoT-8,b,Transit,1,6.21229,0,0.063,0,0,0,88.4,0,0.22,0,Mass,0.57,0,1.6,0,0,0,0,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380,0,14.8,,0,0,V (Johnson),5080,0,0,0.88,0,0,0.77,0,0
88,CoRoT-9,b,Transit,1,95.2738,0,0.407,0,0.11,0,89.99,0,0.84,0,Mass,1.05,0,0.9,0,0,0,0,0,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460,0,13.69,,0,0,V (Johnson),5625,0,0,0.99,0,0,0.94,0,0
89,DENIS-P J082303.1-491201,b,Astrometry,1,246.36,0,0.36,0,0.345,0,56.6,0,28.5,0,Mass,,,,,0,0,0,0,08h23m03.13s,125.76305,-49d12m01.3s,-49.200359,20.77,0,,,,,,,,,0.07,0,0,,,
90,DH Tau,b,Imaging,1,,,330,0,,,,,11,0,Mass,,,,,0,0,0,1,04h29m41.56s,67.423158,+26d32m58.3s,26.54952,140,0,,,,,,,,,0.33,0,0,0.27,0,0
91,DP Leo,b,Eclipse Timing Variations,1,10220,0,8.19,0,0.39,0,,,6.05,0,Msini,,,,,0,0,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,,,,,,,0.69,0,0,,,
92,FU Tau,b,Imaging,1,,,800,0,,,,,16,0,Mass,,,,,0,0,0,1,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140,0,,,,,,2838,0,0,0.05,0,0,,,0
93,Fomalhaut,b,Imaging,1,555530,0,160,0,0.87,0,55,0,,,,,,,,0,0,0,2,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.69,0,1.16,,0,0,V (Johnson),,,,2,0,0,,,
