rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend
1813,Kepler-241,c,Transit,2,36.065978,0,0.189,0,,,,,,,,0.229,0,,,0,1,0,1,19h31m39.15s,292.913118,+41d03m39.3s,41.060921,,,15.389,,0,0,Kepler-band,4699,0,0,,,,0.67,0,0
1814,Kepler-242,b,Transit,2,8.20395,0,0.075,0,,,,,,,,0.233,0,,,0,1,0,1,19h06m15.77s,286.565695,+41d48m30.3s,41.808403,,,15.376,,0,0,Kepler-band,5020,0,0,,,,0.85,0,0
1815,Kepler-242,c,Transit,2,14.496481,0,0.109,0,,,,,,,,0.178,0,,,0,1,0,1,19h06m15.77s,286.565695,+41d48m30.3s,41.808403,,,15.376,,0,0,Kepler-band,5020,0,0,,,,0.85,0,0
1816,Kepler-243,b,Transit,2,5.715442,0,0.062,0,,,,,,,,0.219,0,,,0,1,0,1,19h00m26.51s,285.11047,+42d02m02.2s,42.033958,,,15.086,,0,0,Kepler-band,5228,0,0,0.89,0,0,0.84,0,0
1817,Kepler-243,c,Transit,2,20.026218,0,0.142,0,,,,,,,,0.178,0,,,0,1,0,1,19h00m26.51s,285.11047,+42d02m02.2s,42.033958,,,15.086,,0,0,Kepler-band,5228,0,0,0.89,0,0,0.84,0,0
1818,Kepler-244,b,Transit,3,4.311792,0,0.05,0,,,,,,,,0.246,0,,,0,1,0,1,19h08m58.24s,287.24268,+42d18m04.9s,42.301369,,,15.604,,0,0,Kepler-band,5554,0,0,,,,0.8,0,0
1819,Kepler-244,c,Transit,3,9.767292,0,0.087,0,,,,,,,,0.183,0,,,0,1,0,1,19h08m58.24s,287.24268,+42d18m04.9s,42.301369,,,15.604,,0,0,Kepler-band,5554,0,0,,,,0.8,0,0
1820,Kepler-244,d,Transit,3,20.050401,0,0.14,0,,,,,,,,0.206,0,,,0,1,0,1,19h08m58.24s,287.24268,+42d18m04.9s,42.301369,,,15.604,,0,0,Kepler-band,5554,0,0,,,,0.8,0,0
1821,Kepler-245,b,Transit,4,7.49019,0,0.071,0,,,,,,,,0.229,0,,,1,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,,,15.599,,0,0,Kepler-band,5100,0,0,0.8,0,0,0.8,0,0
1822,Kepler-245,c,Transit,4,17.460812,0,0.124,0,,,,,,,,0.194,0,,,1,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,,,15.599,,0,0,Kepler-band,5100,0,0,0.8,0,0,0.8,0,0
1823,Kepler-245,d,Transit,4,36.277108,0,0.202,0,,,,,,,,0.27,0,,,1,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,,,15.599,,0,0,Kepler-band,5100,0,0,0.8,0,0,0.8,0,0
1824,Kepler-245,e,Transit,4,3.21982106,0,,,,,,,,,,0.156,0,,,0,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,,,15.599,,0,0,Kepler-band,5100,0,0,0.8,0,0,0.8,0,0
1825,Kepler-246,b,Transit,2,4.60182,0,0.052,0,,,,,,,,0.209,0,,,0,1,0,1,19h45m56.02s,296.483427,+42d39m48.3s,42.663429,,,15.024,,0,0,Kepler-band,5206,0,0,0.86,0,0,0.83,0,0
1826,Kepler-246,c,Transit,2,11.187161,0,0.095,0,,,,,,,,0.134,0,,,0,1,0,1,19h45m56.02s,296.483427,+42d39m48.3s,42.663429,,,15.024,,0,0,Kepler-band,5206,0,0,0.86,0,0,0.83,0,0
1827,Kepler-247,b,Transit,3,3.33616,0,0.042,0,,,,,,,,0.146,0,,,1,1,0,1,19h14m34.21s,288.642531,+43d02m21.4s,43.039291,,,15.067,,0,0,Kepler-band,5100,0,0,,,,0.77,0,0
1828,Kepler-247,c,Transit,3,9.439452,0,0.084,0,,,,,,,,0.365,0,,,1,1,0,1,19h14m34.21s,288.642531,+43d02m21.4s,43.039291,,,15.067,,0,0,Kepler-band,5100,0,0,,,,0.77,0,0
1829,Kepler-247,d,Transit,3,20.477912,0,0.14,0,,,,,,,,0.352,0,,,1,1,0,1,19h14m34.21s,288.642531,+43d02m21.4s,43.039291,,,15.067,,0,0,Kepler-band,5100,0,0,,,,0.77,0,0
1830,Kepler-248,b,Transit,2,6.308205,0,0.066,0,,,,,,,,0.269,0,,,0,1,0,1,19h32m14.73s,293.061384,+43d34m52.9s,43.581356,,,15.258,,0,0,Kepler-band,5190,0,0,,,,0.83,0,0
1831,Kepler-248,c,Transit,2,16.239494,0,0.123,0,,,,,,,,0.363,0,,,0,1,0,1,19h32m14.73s,293.061384,+43d34m52.9s,43.581356,,,15.258,,0,0,Kepler-band,5190,0,0,,,,0.83,0,0
1832,Kepler-249,b,Transit,3,3.306539,0,0.035,0,,,,,,,,0.097,0,,,0,1,0,1,19h47m56.42s,296.985068,+43d39m30.7s,43.658524,,,15.234,,0,0,Kepler-band,3568,0,0,,,,0.48,0,0
1833,Kepler-249,c,Transit,3,7.113702,0,0.058,0,,,,,,,,0.135,0,,,0,1,0,1,19h47m56.42s,296.985068,+43d39m30.7s,43.658524,,,15.234,,0,0,Kepler-band,3568,0,0,,,,0.48,0,0
1834,Kepler-249,d,Transit,3,15.368459,0,0.097,0,,,,,,,,0.14,0,,,0,1,0,1,19h47m56.42s,296.985068,+43d39m30.7s,43.658524,,,15.234,,0,0,Kepler-band,3568,0,0,,,,0.48,0,0
1835,Kepler-25,b,Transit,3,6.2385,0,0.068,0,,,,,12.7,1,Mass,0.232,0,,,1,1,0,1,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,,10.734,,0,0,Kepler-band,6270,0,0,1.19,0,0,1.31,0,0
1836,Kepler-25,c,Transit,3,12.7204,0,0.11,0,,,,,4.16,1,Mass,0.401,0,,,1,1,0,1,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,,10.734,,0,0,Kepler-band,6270,0,0,1.19,0,0,1.31,0,0
1837,Kepler-25,d,Radial Velocity,3,123,0,,,,,,,0.283,0,Mass,,,,,0,1,0,0,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,,10.734,,0,0,Kepler-band,6270,0,0,1.19,0,0,1.31,0,0
1838,Kepler-250,b,Transit,3,4.148141,0,0.048,0,,,,,,,,0.101,0,,,0,1,0,1,19h18m22.74s,289.594765,+44d08m31.0s,44.141953,,,15.46,,0,0,Kepler-band,5160,0,0,0.8,0,0,0.81,0,0
1839,Kepler-250,c,Transit,3,7.156804,0,0.069,0,,,,,,,,0.203,0,,,0,1,0,1,19h18m22.74s,289.594765,+44d08m31.0s,44.141953,,,15.46,,0,0,Kepler-band,5160,0,0,0.8,0,0,0.81,0,0
1840,Kepler-250,d,Transit,3,17.648312,0,0.127,0,,,,,,,,0.194,0,,,0,1,0,1,19h18m22.74s,289.594765,+44d08m31.0s,44.141953,,,15.46,,0,0,Kepler-band,5160,0,0,0.8,0,0,0.81,0,0
1841,Kepler-251,b,Transit,4,4.790936,0,0.053,0,,,,,,,,0.119,0,,,0,1,0,1,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,,15.223,,0,0,Kepler-band,5526,0,0,0.91,0,0,0.89,0,0
1842,Kepler-251,c,Transit,4,16.514043,0,0.122,0,,,,,,,,0.247,0,,,0,1,0,1,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,,15.223,,0,0,Kepler-band,5526,0,0,0.91,0,0,0.89,0,0
1843,Kepler-251,d,Transit,4,30.133001,0,0.182,0,,,,,,,,0.247,0,,,0,1,0,1,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,,15.223,,0,0,Kepler-band,5526,0,0,0.91,0,0,0.89,0,0
1844,Kepler-251,e,Transit,4,99.640161,0,0.404,0,,,,,,,,0.247,0,,,0,1,0,1,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,,15.223,,0,0,Kepler-band,5526,0,0,0.91,0,0,0.89,0,0
1845,Kepler-252,b,Transit,2,6.668391,0,0.058,0,,,,,,,,0.11,0,,,0,1,0,1,19h42m19.04s,295.579345,+44d32m45.5s,44.545963,,,15.058,,0,0,Kepler-band,4208,0,0,0.52,0,0,0.55,0,0
1846,Kepler-252,c,Transit,2,10.848463,0,0.08,0,,,,,,,,0.192,0,,,0,1,0,1,19h42m19.04s,295.579345,+44d32m45.5s,44.545963,,,15.058,,0,0,Kepler-band,4208,0,0,0.52,0,0,0.55,0,0
1847,Kepler-253,b,Transit,3,3.783986,0,0.046,0,,,,,,,,0.145,0,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,,15.532,,0,0,Kepler-band,5208,0,0,,,,0.79,0,0
1848,Kepler-253,c,Transit,3,10.281951,0,0.089,0,,,,,,,,0.236,0,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,,15.532,,0,0,Kepler-band,5208,0,0,,,,0.79,0,0
1849,Kepler-253,d,Transit,3,18.119869,0,0.13,0,,,,,,,,0.283,0,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,,15.532,,0,0,Kepler-band,5208,0,0,,,,0.79,0,0
1850,Kepler-254,b,Transit,3,5.826662,0,0.064,0,,,,,,,,0.345,0,,,0,1,0,1,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,,15.843,,0,0,Kepler-band,5957,0,0,,,,0.91,0,0
1851,Kepler-254,c,Transit,3,12.412183,0,0.105,0,,,,,,,,0.192,0,,,0,1,0,1,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,,15.843,,0,0,Kepler-band,5957,0,0,,,,0.91,0,0
1852,Kepler-254,d,Transit,3,18.746477,0,0.139,0,,,,,,,,0.223,0,,,0,1,0,1,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,,15.843,,0,0,Kepler-band,5957,0,0,,,,0.91,0,0
1853,Kepler-255,b,Transit,3,5.714606,0,0.063,0,,,,,,,,0.138,0,,,0,1,0,1,19h44m15.42s,296.064233,+45d58m36.6s,45.976841,,,15.596,,0,0,Kepler-band,5573,0,0,0.97,0,0,0.93,0,0
1854,Kepler-255,c,Transit,3,9.946047,0,0.092,0,,,,,,,,0.267,0,,,0,1,0,1,19h44m15.42s,296.064233,+45d58m36.6s,45.976841,,,15.596,,0,0,Kepler-band,5573,0,0,0.97,0,0,0.93,0,0
1855,Kepler-255,d,Transit,3,1.04562266,0,,,,,,,,,,0.118,0,,,0,1,0,1,19h44m15.42s,296.064233,+45d58m36.6s,45.976841,,,15.596,,0,0,Kepler-band,5573,0,0,0.97,0,0,0.93,0,0
1856,Kepler-256,b,Transit,4,1.620493,0,0.027,0,,,,,,,,0.142,0,,,0,1,0,1,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,,15.065,,0,0,Kepler-band,5551,0,0,1.02,0,0,1.3,0,0
1857,Kepler-256,c,Transit,4,3.38802,0,0.045,0,,,,,,,,0.192,0,,,0,1,0,1,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,,15.065,,0,0,Kepler-band,5551,0,0,1.02,0,0,1.3,0,0
1858,Kepler-256,d,Transit,4,5.839172,0,0.064,0,,,,,,,,0.221,0,,,0,1,0,1,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,,15.065,,0,0,Kepler-band,5551,0,0,1.02,0,0,1.3,0,0
1859,Kepler-256,e,Transit,4,10.681572,0,0.096,0,,,,,,,,0.21,0,,,0,1,0,1,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,,15.065,,0,0,Kepler-band,5551,0,0,1.02,0,0,1.3,0,0
1860,Kepler-257,b,Transit,3,2.382667,0,0.034,0,,,,,,,,0.233,0,,,0,1,0,1,19h49m15.84s,297.315994,+46d01m23.8s,46.023269,,,15.471,,0,0,Kepler-band,5180,0,0,,,,1.04,0,0
1861,Kepler-257,c,Transit,3,6.581484,0,0.066,0,,,,,,,,0.483,0,,,0,1,0,1,19h49m15.84s,297.315994,+46d01m23.8s,46.023269,,,15.471,,0,0,Kepler-band,5180,0,0,,,,1.04,0,0
1862,Kepler-257,d,Transit,3,24.664551,0,0.16,0,,,,,,,,0.442,0,,,0,1,0,1,19h49m15.84s,297.315994,+46d01m23.8s,46.023269,,,15.471,,0,0,Kepler-band,5180,0,0,,,,1.04,0,0
1863,Kepler-258,b,Transit,2,13.19722,0,0.103,0,,,,,,,,0.362,0,,,0,1,0,1,19h36m16.44s,294.06849,+46d34m45.6s,46.57933,,,15.223,,0,0,Kepler-band,4942,0,0,0.8,0,0,0.92,0,0
1864,Kepler-258,c,Transit,2,33.653079,0,0.193,0,,,,,,,,0.322,0,,,0,1,0,1,19h36m16.44s,294.06849,+46d34m45.6s,46.57933,,,15.223,,0,0,Kepler-band,4942,0,0,0.8,0,0,0.92,0,0
1865,Kepler-259,b,Transit,2,8.115317,0,0.079,0,,,,,,,,0.25,0,,,0,1,0,1,19h12m50.86s,288.211929,+46d36m54.0s,46.615005,,,15.219,,0,0,Kepler-band,5938,0,0,,,,0.9,0,0
1866,Kepler-259,c,Transit,2,36.924931,0,0.217,0,,,,,,,,0.241,0,,,0,1,0,1,19h12m50.86s,288.211929,+46d36m54.0s,46.615005,,,15.219,,0,0,Kepler-band,5938,0,0,,,,0.9,0,0
1867,Kepler-26,b,Transit,4,12.28,0,,,,,,,0.01611,0,Mass,0.248,0,1.26,0,1,1,0,1,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,,15.473,,0,0,Kepler-band,3914,0,0,0.54,0,0,0.51,0,0
1868,Kepler-26,c,Transit,4,17.2559,0,,,,,,,0.01951,0,Mass,0.243,0,1.61,0,1,1,0,1,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,,15.473,,0,0,Kepler-band,3914,0,0,0.54,0,0,0.51,0,0
1869,Kepler-26,d,Transit,4,3.543919,0,0.039,0,,,,,,,,0.095,0,,,0,1,0,1,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,,15.473,,0,0,Kepler-band,3914,0,0,0.54,0,0,0.51,0,0
1870,Kepler-26,e,Transit,4,46.827915,0,0.22,0,,,,,,,,0.215,0,,,0,1,0,1,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,,15.473,,0,0,Kepler-band,3914,0,0,0.54,0,0,0.51,0,0
1871,Kepler-260,b,Transit,2,8.187399,0,0.075,0,,,,,,,,0.179,0,,,0,1,0,1,19h27m42.23s,291.925972,+38d00m50.8s,38.014122,,,14.138,,0,0,Kepler-band,5250,0,0,0.88,0,0,0.86,0,0
1872,Kepler-260,c,Transit,2,76.050178,0,0.332,0,,,,,,,,0.155,0,,,0,1,0,1,19h27m42.23s,291.925972,+38d00m50.8s,38.014122,,,14.138,,0,0,Kepler-band,5250,0,0,0.88,0,0,0.86,0,0
1873,Kepler-261,b,Transit,2,10.381227,0,0.088,0,,,,,,,,0.194,0,,,0,1,0,1,19h25m27.55s,291.364773,+37d36m33.1s,37.609184,,,13.562,,0,0,Kepler-band,5098,0,0,0.87,0,0,0.79,0,0
1874,Kepler-261,c,Transit,2,24.570858,0,0.156,0,,,,,,,,0.178,0,,,0,1,0,1,19h25m27.55s,291.364773,+37d36m33.1s,37.609184,,,13.562,,0,0,Kepler-band,5098,0,0,0.87,0,0,0.79,0,0
1875,Kepler-262,b,Transit,2,13.060855,0,0.108,0,,,,,,,,0.121,0,,,0,1,0,1,19h22m54.88s,290.728675,+37d15m09.5s,37.252649,,,14.246,,0,0,Kepler-band,5841,0,0,,,,0.88,0,0
1876,Kepler-262,c,Transit,2,21.853722,0,0.152,0,,,,,,,,0.146,0,,,0,1,0,1,19h22m54.88s,290.728675,+37d15m09.5s,37.252649,,,14.246,,0,0,Kepler-band,5841,0,0,,,,0.88,0,0
1877,Kepler-263,b,Transit,2,16.568087,0,0.12,0,,,,,,,,0.238,0,,,0,1,0,1,19h29m52.74s,292.469762,+37d34m04.1s,37.567794,,,15.391,,0,0,Kepler-band,5265,0,0,,,,0.79,0,0
1878,Kepler-263,c,Transit,2,47.332773,0,0.242,0,,,,,,,,0.22,0,,,0,1,0,1,19h29m52.74s,292.469762,+37d34m04.1s,37.567794,,,15.391,,0,0,Kepler-band,5265,0,0,,,,0.79,0,0
1879,Kepler-264,b,Transit,2,40.806231,0,0.249,0,,,,,,,,0.297,0,,,0,1,0,1,19h28m10.71s,292.044615,+37d22m34.5s,37.376246,,,13.038,,0,0,Kepler-band,6158,0,0,1.32,0,0,1.55,0,0
1880,Kepler-264,c,Transit,2,140.101261,0,0.566,0,,,,,,,,0.252,0,,,0,1,0,1,19h28m10.71s,292.044615,+37d22m34.5s,37.376246,,,13.038,,0,0,Kepler-band,6158,0,0,1.32,0,0,1.55,0,0
1881,Kepler-265,b,Transit,4,6.846262,0,0.069,0,,,,,,,,0.166,0,,,0,1,0,1,19h22m02.51s,290.510478,+41d14m41.4s,41.24482,,,15.381,,0,0,Kepler-band,5835,0,0,1.03,0,0,1.1,0,0
1882,Kepler-265,c,Transit,4,17.028937,0,0.127,0,,,,,,,,0.235,0,,,0,1,0,1,19h22m02.51s,290.510478,+41d14m41.4s,41.24482,,,15.381,,0,0,Kepler-band,5835,0,0,1.03,0,0,1.1,0,0
1883,Kepler-265,d,Transit,4,43.130617,0,0.236,0,,,,,,,,0.222,0,,,0,1,0,1,19h22m02.51s,290.510478,+41d14m41.4s,41.24482,,,15.381,,0,0,Kepler-band,5835,0,0,1.03,0,0,1.1,0,0
1884,Kepler-265,e,Transit,4,67.831024,0,0.319,0,,,,,,,,0.231,0,,,0,1,0,1,19h22m02.51s,290.510478,+41d14m41.4s,41.24482,,,15.381,,0,0,Kepler-band,5835,0,0,1.03,0,0,1.1,0,0
1885,Kepler-266,b,Transit,2,6.61833,0,0.071,0,,,,,,,,0.221,0,,,0,1,0,1,19h37m56.25s,294.484378,+44d10m00.9s,44.166916,,,15.59,,0,0,Kepler-band,5885,0,0,0.99,0,0,1.03,0,0
1886,Kepler-266,c,Transit,2,107.723601,0,0.457,0,,,,,,,,0.347,0,,,0,1,0,1,19h37m56.25s,294.484378,+44d10m00.9s,44.166916,,,15.59,,0,0,Kepler-band,5885,0,0,0.99,0,0,1.03,0,0
1887,Kepler-267,b,Transit,3,3.353728,0,0.037,0,,,,,,,,0.177,0,,,0,1,0,1,19h59m19.29s,299.830387,+47d09m26.9s,47.157461,,,15.438,,0,0,Kepler-band,4258,0,0,0.56,0,0,0.56,0,0
1888,Kepler-267,c,Transit,3,6.87745,0,0.06,0,,,,,,,,0.19,0,,,0,1,0,1,19h59m19.29s,299.830387,+47d09m26.9s,47.157461,,,15.438,,0,0,Kepler-band,4258,0,0,0.56,0,0,0.56,0,0
1889,Kepler-267,d,Transit,3,28.464515,0,0.154,0,,,,,,,,0.203,0,,,0,1,0,1,19h59m19.29s,299.830387,+47d09m26.9s,47.157461,,,15.438,,0,0,Kepler-band,4258,0,0,0.56,0,0,0.56,0,0
1890,Kepler-268,b,Transit,2,25.934138,0,0.18,0,,,,,,,,0.227,0,,,0,1,0,1,19h27m54.28s,291.976175,+38d03m18.3s,38.055075,,,13.703,,0,0,Kepler-band,6081,0,0,,,,1.27,0,0
1891,Kepler-268,c,Transit,2,83.446393,0,0.391,0,,,,,,,,0.302,0,,,0,1,0,1,19h27m54.28s,291.976175,+38d03m18.3s,38.055075,,,13.703,,0,0,Kepler-band,6081,0,0,,,,1.27,0,0
1892,Kepler-269,b,Transit,2,5.326718,0,0.061,0,,,,,,,,0.22,0,,,0,1,0,1,19h20m51.64s,290.215171,+41d46m33.5s,41.775967,,,15.808,,0,0,Kepler-band,5847,0,0,0.98,0,0,0.96,0,0
1893,Kepler-269,c,Transit,2,8.127899,0,0.081,0,,,,,,,,0.151,0,,,0,1,0,1,19h20m51.64s,290.215171,+41d46m33.5s,41.775967,,,15.808,,0,0,Kepler-band,5847,0,0,0.98,0,0,0.96,0,0
1894,Kepler-27,b,Transit,2,15.3348,0,0.118,0,,,,,9.11,1,Mass,0.357,0,,,1,1,0,1,19h28m56.82s,292.236769,+41d05m09.2s,41.085876,,,15.855,,0,0,Kepler-band,5400,0,0,0.65,0,0,0.59,0,0
1895,Kepler-27,c,Transit,2,31.3309,0,0.191,0,,,,,13.8,1,Mass,0.437,0,,,1,1,0,1,19h28m56.82s,292.236769,+41d05m09.2s,41.085876,,,15.855,,0,0,Kepler-band,5400,0,0,0.65,0,0,0.59,0,0
1896,Kepler-270,b,Transit,2,11.476094,0,0.107,0,,,,,,,,0.179,0,,,0,1,0,1,18h48m48.02s,282.2001,+44d25m20.3s,44.422302,,,13.908,,0,0,Kepler-band,6067,0,0,,,,1.46,0,0
1897,Kepler-270,c,Transit,2,25.262887,0,0.18,0,,,,,,,,0.158,0,,,0,1,0,1,18h48m48.02s,282.2001,+44d25m20.3s,44.422302,,,13.908,,0,0,Kepler-band,6067,0,0,,,,1.46,0,0
1898,Kepler-271,b,Transit,3,5.217738,0,0.056,0,,,,,,,,0.079,0,,,0,1,0,1,18h52m00.72s,283.00298,+44d17m03.2s,44.284233,,,13.404,,0,0,Kepler-band,5524,0,0,,,,0.88,0,0
1899,Kepler-271,c,Transit,3,7.410935,0,0.071,0,,,,,,,,0.089,0,,,0,1,0,1,18h52m00.72s,283.00298,+44d17m03.2s,44.284233,,,13.404,,0,0,Kepler-band,5524,0,0,,,,0.88,0,0
1900,Kepler-271,d,Transit,3,5.24972541,0,,,,,,,,,,0.059,0,,,0,1,0,1,18h52m00.72s,283.00298,+44d17m03.2s,44.284233,,,13.404,,0,0,Kepler-band,5524,0,0,,,,0.88,0,0
1901,Kepler-272,b,Transit,3,2.971353,0,0.038,0,,,,,,,,0.128,0,,,0,1,0,1,19h56m30.61s,299.127524,+47d35m37.8s,47.59383,,,14.678,,0,0,Kepler-band,5297,0,0,0.79,0,0,0.93,0,0
1902,Kepler-272,c,Transit,3,6.057342,0,0.061,0,,,,,,,,0.16,0,,,0,1,0,1,19h56m30.61s,299.127524,+47d35m37.8s,47.59383,,,14.678,,0,0,Kepler-band,5297,0,0,0.79,0,0,0.93,0,0
1903,Kepler-272,d,Transit,3,10.937304,0,0.091,0,,,,,,,,0.201,0,,,0,1,0,1,19h56m30.61s,299.127524,+47d35m37.8s,47.59383,,,14.678,,0,0,Kepler-band,5297,0,0,0.79,0,0,0.93,0,0
1904,Kepler-273,b,Transit,2,2.936532,0,0.037,0,,,,,,,,0.134,0,,,0,1,0,1,19h25m12.53s,291.302209,+47d41m51.9s,47.697758,,,14.968,,0,0,Kepler-band,5626,0,0,,,,0.81,0,0
1905,Kepler-273,c,Transit,2,8.014927,0,0.073,0,,,,,,,,0.177,0,,,0,1,0,1,19h25m12.53s,291.302209,+47d41m51.9s,47.697758,,,14.968,,0,0,Kepler-band,5626,0,0,,,,0.81,0,0
1906,Kepler-274,b,Transit,2,11.634788,0,0.101,0,,,,,,,,0.137,0,,,0,1,0,1,19h31m41.47s,292.922774,+38d28m38.2s,38.477274,,,15.035,,0,0,Kepler-band,6023,0,0,,,,1.01,0,0
1907,Kepler-274,c,Transit,2,33.197861,0,0.204,0,,,,,,,,0.164,0,,,0,1,0,1,19h31m41.47s,292.922774,+38d28m38.2s,38.477274,,,15.035,,0,0,Kepler-band,6023,0,0,,,,1.01,0,0
1908,Kepler-275,b,Transit,3,10.300682,0,0.098,0,,,,,,,,0.209,0,,,0,1,0,1,19h29m55.13s,292.479713,+38d30m53.7s,38.514927,,,15.319,,0,0,Kepler-band,6165,0,0,1.24,0,0,1.38,0,0
1909,Kepler-275,c,Transit,3,16.088134,0,0.132,0,,,,,,,,0.302,0,,,0,1,0,1,19h29m55.13s,292.479713,+38d30m53.7s,38.514927,,,15.319,,0,0,Kepler-band,6165,0,0,1.24,0,0,1.38,0,0
1910,Kepler-275,d,Transit,3,35.676062,0,0.224,0,,,,,,,,0.297,0,,,0,1,0,1,19h29m55.13s,292.479713,+38d30m53.7s,38.514927,,,15.319,,0,0,Kepler-band,6165,0,0,1.24,0,0,1.38,0,0
1911,Kepler-276,b,Transit,3,14.12841,0,0.119,0,,,,,,,,0.256,0,,,0,1,0,1,19h34m16.36s,293.56815,+39d02m10.8s,39.036326,,,15.368,,0,0,Kepler-band,6105,0,0,1.1,0,0,1.05,0,0
1912,Kepler-276,c,Transit,3,31.884,0,,,,,,,0.052,0,Mass,0.259,0,,,1,1,0,1,19h34m16.36s,293.56815,+39d02m10.8s,39.036326,,,15.368,,0,0,Kepler-band,6105,0,0,1.1,0,0,1.05,0,0
1913,Kepler-276,d,Transit,3,48.648,0,,,,,,,0.051,0,Mass,0.25,0,,,1,1,0,1,19h34m16.36s,293.56815,+39d02m10.8s,39.036326,,,15.368,,0,0,Kepler-band,6105,0,0,1.1,0,0,1.05,0,0
1914,Kepler-277,b,Transit,2,17.324,0,,,,,,,0.275,0,Mass,0.261,0,,,1,1,0,1,19h06m19.96s,286.583175,+39d04m38.0s,39.077209,,,13.42,,0,0,Kepler-band,5946,0,0,1.12,0,0,1.69,0,0
1915,Kepler-277,c,Transit,2,33.006,0,,,,,,,0.202,0,Mass,0.3,0,,,1,1,0,1,19h06m19.96s,286.583175,+39d04m38.0s,39.077209,,,13.42,,0,0,Kepler-band,5946,0,0,1.12,0,0,1.69,0,0
1916,Kepler-278,b,Transit,2,30.160546,0,0.207,0,,,,,,,,0.363,0,,,1,1,0,1,19h20m25.73s,290.107193,+38d42m08.0s,38.702235,,,11.584,,0,0,Kepler-band,4991,0,0,,,,2.94,0,0
1917,Kepler-278,c,Transit,2,51.078775,0,0.294,0,,,,,,,,0.32,0,,,1,1,0,1,19h20m25.73s,290.107193,+38d42m08.0s,38.702235,,,11.584,,0,0,Kepler-band,4991,0,0,,,,2.94,0,0
1918,Kepler-279,b,Transit,3,12.309681,0,0.112,0,,,,,,,,0.323,0,,,1,1,0,1,19h09m33.89s,287.391224,+42d11m41.4s,42.194836,,,13.659,,0,0,Kepler-band,6363,0,0,1.1,0,0,1.75,0,0
1919,Kepler-279,c,Transit,3,35.736,0,,,,,,,0.155,0,Mass,0.384,0,,,1,1,0,1,19h09m33.89s,287.391224,+42d11m41.4s,42.194836,,,13.659,,0,0,Kepler-band,6363,0,0,1.1,0,0,1.75,0,0
1920,Kepler-279,d,Transit,3,54.414,0,,,,,,,0.118,0,Mass,0.277,0,,,1,1,0,1,19h09m33.89s,287.391224,+42d11m41.4s,42.194836,,,13.659,,0,0,Kepler-band,6363,0,0,1.1,0,0,1.75,0,0
1921,Kepler-28,b,Transit,2,5.9123,0,0.062,0,,,,,1.51,1,Mass,0.321,0,,,1,1,0,1,19h28m32.89s,292.137029,+42d25m45.9s,42.42942,,,15.036,,0,0,Kepler-band,4590,0,0,0.75,0,0,0.7,0,0
1922,Kepler-28,c,Transit,2,8.9858,0,0.081,0,,,,,1.36,1,Mass,0.303,0,,,1,1,0,1,19h28m32.89s,292.137029,+42d25m45.9s,42.42942,,,15.036,,0,0,Kepler-band,4590,0,0,0.75,0,0,0.7,0,0
1923,Kepler-280,b,Transit,2,2.139542,0,0.032,0,,,,,,,,0.129,0,,,0,1,0,1,19h25m33.72s,291.39051,+42d10m50.1s,42.180588,,,14.466,,0,0,Kepler-band,5744,0,0,0.91,0,0,0.89,0,0
